paper_ID,light_treatment_mean,dark_treatment_mean,light_se,dark_se
XLE9CETS,28.99028718,14.25035737,2.594218744,2.383959834
JTRLFNEZ,30.4168254,24.05746032,2.838381234,1.853988242
6IHYJZ5N,78.58720876,29.96697813,24.41297627,2.691560007
